"Page","Title","MetaDescription","Canonical","Robots","OGTitle","OGDescription","OGUrl","OGImage","TwitterCard","BreadcrumbSchema","BreadcrumbVisible","H1Count"
"all-products.html","True","True","True","True","True","True","True","True","True","False","False","1"
"badge1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"badge2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"badge3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"badge4.html","True","True","True","True","True","True","True","True","True","True","True","1"
"badges.html","True","True","True","True","True","True","True","True","True","True","True","0"
"categories.html","True","True","True","True","True","True","True","True","True","True","True","1"
"contact.html","True","True","True","True","True","True","True","True","True","True","True","1"
"hoodie1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"hoodie2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"hoodie3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"hoodie4.html","True","True","True","True","True","True","True","True","True","True","True","1"
"hoodies.html","True","True","True","True","True","True","True","True","True","True","True","0"
"id1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"id2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"id3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"ids.html","True","True","True","True","True","True","True","True","True","True","True","1"
"index.html","True","True","True","True","True","True","True","True","True","False","False","1"
"jacket1.html","True","True","True","True","True","True","True","True","True","False","False","1"
"jackets.html","True","True","True","True","True","True","True","True","True","True","True","0"
"jersey1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"jersey2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"jersey3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"jersey4.html","True","True","True","True","True","True","True","True","True","True","True","1"
"jersey5.html","True","True","True","True","True","True","True","True","True","True","True","1"
"jerseys.html","True","True","True","True","True","True","True","True","True","True","True","0"
"mugs.html","True","True","True","True","True","True","True","True","True","True","True","1"
"short1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"short2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"shorts.html","True","True","True","True","True","True","True","True","True","True","True","0"
"sweatshirt1.html","True","True","True","True","True","True","True","True","True","False","False","1"
"track-order.html","True","True","True","True","True","True","True","True","False","True","True","1"
"trackpant1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"trackpant2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"trackpant3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"trackpant4.html","True","True","True","True","True","True","True","True","True","True","True","1"
"trackpants.html","True","True","True","True","True","True","True","True","True","True","True","0"
"tshirt1.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt10.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt2.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt3.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt4.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt5.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt6.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt7.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt8.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirt9.html","True","True","True","True","True","True","True","True","True","True","True","1"
"tshirts.html","True","True","True","True","True","True","True","True","True","True","True","1"
